asset_id,ward,suggested_name,osm_name,osm_name_ja,distance_m
RA-ATSU-2070,Atsuta-ku,八熊通,八熊通,八熊通,47.8
RA-ATSU-2071,Atsuta-ku,八熊通,八熊通,八熊通,47.9
RA-ATSU-2085,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,48.9
RA-ATSU-2092,Atsuta-ku,大津通,大津通,大津通,51.8
RA-ATSU-2097,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,34.4
RA-ATSU-2099,Atsuta-ku,八熊通,八熊通,八熊通,60.0
RA-ATSU-2100,Atsuta-ku,八熊通,八熊通,八熊通,60.0
RA-ATSU-2115,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,47.0
RA-ATSU-2118,Atsuta-ku,伏見通,伏見通,伏見通,38.4
RA-ATSU-2120,Atsuta-ku,新尾頭金山線,新尾頭金山線,,49.1
RA-ATSU-2121,Atsuta-ku,新尾頭金山線,新尾頭金山線,,43.6
RA-ATSU-2126,Atsuta-ku,伏見通,伏見通,伏見通,46.0
RA-ATSU-2130,Atsuta-ku,大津通,大津通,大津通,51.8
RA-ATSU-2131,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,48.9
RA-ATSU-2136,Atsuta-ku,新尾頭金山線,新尾頭金山線,,48.0
RA-ATSU-2152,Atsuta-ku,熱田新橋,熱田新橋,,38.2
RA-ATSU-2159,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,38.5
RA-ATSU-2163,Atsuta-ku,八熊通,八熊通,八熊通,47.7
RA-ATSU-2164,Atsuta-ku,八熊通,八熊通,八熊通,47.7
RA-ATSU-2165,Atsuta-ku,熱田新橋,熱田新橋,,37.7
RA-ATSU-2184,Atsuta-ku,ドライブピックアップ,ドライブピックアップ,,33.4
RA-ATSU-2185,Atsuta-ku,ドライブピックアップ,ドライブピックアップ,,55.5
RA-ATSU-2201,Atsuta-ku,熱田新橋,熱田新橋,,36.1
RA-ATSU-2202,Atsuta-ku,熱田新橋,熱田新橋,,38.2
RA-ATSU-2308,Atsuta-ku,豆田町線,豆田町線,豆田町線,39.6
RA-ATSU-2312,Atsuta-ku,神宮東自転車歩行者道線,神宮東自転車歩行者道線,,41.2
RA-ATSU-2313,Atsuta-ku,神宮東自転車歩行者道線,神宮東自転車歩行者道線,,40.5
RA-ATSU-2314,Atsuta-ku,神宮東自転車歩行者道線,神宮東自転車歩行者道線,,44.2
RA-ATSU-2316,Atsuta-ku,神宮東自転車歩行者道線,神宮東自転車歩行者道線,,41.8
RA-ATSU-2325,Atsuta-ku,国道1号,国道1号,国道1号,44.3
RA-ATSU-2326,Atsuta-ku,国道1号,国道1号,国道1号,41.1
RA-ATSU-2332,Atsuta-ku,大瀬子歩道橋,大瀬子歩道橋,大瀬子歩道橋,52.4
RA-ATSU-2338,Atsuta-ku,国道1号,国道1号,国道1号,44.3
RA-ATSU-2345,Atsuta-ku,旧東海道,旧東海道,,38.3
RA-ATSU-2347,Atsuta-ku,大瀬子歩道橋,大瀬子歩道橋,大瀬子歩道橋,57.5
RA-ATSU-2358,Atsuta-ku,旧東海道,旧東海道,,37.1
RA-ATSU-2381,Atsuta-ku,名古屋東港線,名古屋東港線,名古屋東港線,47.6
RA-ATSU-2383,Atsuta-ku,国道1号,国道1号,国道1号,41.1
RA-ATSU-2395,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,55.8
RA-ATSU-2396,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,52.5
RA-ATSU-2397,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,49.9
RA-ATSU-2438,Atsuta-ku,リバーサイド堀川端プロムナード,リバーサイド堀川端プロムナード,,57.9
RA-ATSU-2447,Atsuta-ku,リバーサイド堀川端プロムナード,リバーサイド堀川端プロムナード,,46.3
RA-ATSU-2448,Atsuta-ku,リバーサイド堀川端プロムナード,リバーサイド堀川端プロムナード,,56.7
RA-ATSU-2451,Atsuta-ku,リバーサイド堀川端プロムナード,リバーサイド堀川端プロムナード,,56.7
RA-ATSU-2456,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,40.2
RA-ATSU-2457,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,40.1
RA-ATSU-2458,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,42.2
RA-ATSU-2459,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,36.0
